acceleration,mpg,model_year,cylinders,weight,displacement,car_name,horsepower,origin,msrp
14.5,22.0,75,4,2945,121.0,volvo 244dl,98.00,2,6595
13.5,25.0,75,4,2671,121.0,saab 99le,115.0,2,5198
17.5,33.0,75,4,1795,91.00,honda civic cvcc,53.00,3,3009
15.5,28.0,76,4,2464,107.0,fiat 131,86.00,2,4286
16.9,25.0,76,4,2220,116.0,opel 1900,81.00,2,NA
14.9,25.0,76,4,2572,140.0,capri ii,92.00,1,NA
17.7,26.0,76,4,2255,98.00,dodge colt,79.00,1,3175
15.3,27.0,76,4,2202,101.0,renault 12tl,83.00,2,3899
13.0,17.5,76,8,4215,305.0,chevrolet chevelle malibu classic,140.0,1,4455
13.0,16.0,76,8,4190,318.0,dodge coronet brougham,150.0,1,4297
13.9,15.5,76,8,3962,304.0,amc matador,120.0,1,3725
12.8,14.5,76,8,4215,351.0,ford gran torino,152.0,1,NA
15.4,22.0,76,6,3233,225.0,plymouth valiant,100.0,1,3276
14.5,22.0,76,6,3353,250.0,chevrolet nova,105.0,1,3413
17.6,24.0,76,6,3012,200.0,ford maverick,81.00,1,3117
17.6,22.5,76,6,3085,232.0,amc hornet,90.00,1,3199
22.2,29.0,76,4,2035,85.00,chevrolet chevette,52.00,1,2558
22.1,24.5,76,4,2164,98.00,chevrolet woody,60.00,1,NA
14.2,29.0,76,4,1937,90.00,vw rabbit,70.00,2,3499
17.4,33.0,76,4,1795,91.00,honda civic,53.00,3,2939
17.7,20.0,76,6,3651,225.0,dodge aspen se,100.0,1,4413
21.0,18.0,76,6,3574,250.0,ford granada ghia,78.00,1,4353
16.2,18.5,76,6,3645,250.0,pontiac ventura sj,110.0,1,3702
17.8,17.5,76,6,3193,258.0,amc pacer d/l,95.00,1,3499
12.2,29.5,76,4,1825,97.00,volkswagen rabbit,71.00,2,3499
17.0,32.0,76,4,1990,85.00,datsun b-210,70.00,3,NA
16.4,28.0,76,4,2155,97.00,toyota corolla,75.00,3,2789
13.6,26.5,76,4,2565,140.0,ford pinto,72.00,1,3025
15.7,20.0,76,4,3150,130.0,volvo 245,102.0,2,7495
13.2,13.0,76,8,3940,318.0,plymouth volare premier v8,150.0,1,3324
21.9,19.0,76,4,3270,120.0,peugeot 504,88.00,2,7340
15.5,19.0,76,6,2930,156.0,toyota mark ii,108.0,3,NA
16.7,16.5,76,6,3820,168.0,mercedes-benz 280s,120.0,2,17124
12.1,16.5,76,8,4380,350.0,cadillac seville,180.0,1,12479
12.0,13.0,76,8,4055,350.0,chevy c10,145.0,1,5087
15.0,13.0,76,8,3870,302.0,ford f108,130.0,1,NA
14.0,13.0,76,8,3755,318.0,dodge d100,150.0,1,3777
18.5,31.5,77,4,2045,98.00,honda accord cvcc,68.00,3,3299
14.8,30.0,77,4,2155,111.0,buick opel isuzu deluxe,80.00,1,NA
18.6,36.0,77,4,1825,79.00,renault 5 gtl,58.00,2,4450
15.5,25.5,77,4,2300,122.0,plymouth arrow gs,96.00,1,3654
16.8,33.5,77,4,1945,85.00,datsun f-10 hatchback,70.00,3,NA
12.5,17.5,77,8,3880,305.0,chevrolet caprice classic,145.0,1,5307
19.0,17.0,77,8,4060,260.0,oldsmobile cutlass supreme,110.0,1,4825
13.7,15.5,77,8,4140,318.0,dodge monaco brougham,145.0,1,4408
14.9,15.0,77,8,4295,302.0,mercury cougar brougham,130.0,1,4990
16.4,17.5,77,6,3520,250.0,chevrolet concours,110.0,1,4111
16.9,20.5,77,6,3425,231.0,buick skylark,105.0,1,3865
17.7,19.0,77,6,3630,225.0,plymouth volare custom,100.0,1,3752
19.0,18.5,77,6,3525,250.0,ford granada,98.00,1,4209
11.1,16.0,77,8,4220,400.0,pontiac grand prix lj,180.0,1,5483
11.4,15.5,77,8,4165,350.0,chevrolet monte carlo landau,170.0,1,4968
12.2,15.5,77,8,4325,400.0,chrysler cordoba,190.0,1,5418
14.5,16.0,77,8,4335,351.0,ford thunderbird,149.0,1,5063
14.5,29.0,77,4,1940,97.00,volkswagen rabbit custom,78.00,2,4079
16.0,24.5,77,4,2740,151.0,pontiac sunbird coupe,88.00,1,3659
18.2,26.0,77,4,2265,97.00,toyota corolla liftback,75.00,3,3918
15.8,25.5,77,4,2755,140.0,ford mustang ii 2+2,89.00,1,4183
17.0,30.5,77,4,2051,98.00,chevrolet chevette,63.00,1,3225
15.9,33.5,77,4,2075,98.00,dodge colt m/m,83.00,1,2999
16.4,30.0,77,4,1985,97.00,subaru dl,67.00,3,3499
14.1,30.5,77,4,2190,97.00,volkswagen dasher,78.00,2,5399
14.5,22.0,77,6,2815,146.0,datsun 810,97.00,3,NA
12.8,21.5,77,4,2600,121.0,bmw 320i,110.0,2,7990
13.5,21.5,77,3,2720,80.00,mazda rx-4,110.0,3,5470
21.5,43.1,78,4,1985,90.00,volkswagen rabbit custom diesel,48.00,2,4699
14.4,36.1,78,4,1800,98.00,ford fiesta,66.00,1,NA
19.4,32.8,78,4,1985,78.00,mazda glc deluxe,52.00,3,3145
18.6,39.4,78,4,2070,85.00,datsun b210 gx,70.00,3,NA
16.4,36.1,78,4,1800,91.00,honda civic cvcc,60.00,3,3975
15.5,19.9,78,8,3365,260.0,oldsmobile cutlass salon brougham,110.0,1,4877
13.2,19.4,78,8,3735,318.0,dodge diplomat,140.0,1,5207
12.8,20.2,78,8,3570,302.0,mercury monarch ghia,139.0,1,4571
19.2,19.2,78,6,3535,231.0,pontiac phoenix lj,105.0,1,4399
18.2,20.5,78,6,3155,200.0,chevrolet malibu,95.00,1,4394
15.8,20.2,78,6,2965,200.0,ford fairmont (auto),85.00,1,3744
15.4,25.1,78,4,2720,140.0,ford fairmont (man),88.00,1,3744
17.2,20.5,78,6,3430,225.0,plymouth volare,100.0,1,3771
17.2,19.4,78,6,3210,232.0,amc concord,90.00,1,3849
15.8,20.6,78,6,3380,231.0,buick century special,105.0,1,4633
16.7,20.8,78,6,3070,200.0,mercury zephyr,85.00,1,3897
18.7,18.6,78,6,3620,225.0,dodge aspen,110.0,1,3911
15.1,18.1,78,6,3410,258.0,amc concord d/l,120.0,1,3849
13.2,19.2,78,8,3425,305.0,chevrolet monte carlo landau,145.0,1,4935
13.4,17.7,78,6,3445,231.0,buick regal sport coupe (turbo),165.0,1,5958
11.2,18.1,78,8,3205,302.0,ford futura,139.0,1,NA
13.7,17.5,78,8,4080,318.0,dodge magnum xe,140.0,1,5509
16.5,30.0,78,4,2155,98.00,chevrolet chevette,68.00,1,3644
14.2,27.5,78,4,2560,134.0,toyota corona,95.00,3,4574
14.7,27.2,78,4,2300,119.0,datsun 510,97.00,3,NA
14.5,30.9,78,4,2230,105.0,dodge omni,75.00,1,3967
14.8,21.1,78,4,2515,134.0,toyota celica gt liftback,95.00,3,5889
16.7,23.2,78,4,2745,156.0,plymouth sapporo,105.0,1,6087
17.6,23.8,78,4,2855,151.0,oldsmobile starfire sx,85.00,1,4306
14.9,23.9,78,4,2405,119.0,datsun 200-sx,97.00,3,NA
15.9,20.3,78,5,2830,131.0,audi 5000,103.0,2,8780
13.6,17.0,78,6,3140,163.0,volvo 264gl,125.0,2,10245
15.7,21.6,78,4,2795,121.0,saab 99gle,115.0,2,6298
15.8,16.2,78,6,3410,163.0,peugeot 604sl,133.0,2,10990
14.9,31.5,78,4,1990,89.00,volkswagen scirocco,71.00,2,6095
16.6,29.5,78,4,2135,98.00,honda accord lx,68.00,3,5965
15.4,21.5,79,6,3245,231.0,pontiac lemans v6,115.0,1,5301
18.2,19.8,79,6,2990,200.0,mercury zephyr 6,85.00,1,4888
17.3,22.3,79,4,2890,140.0,ford fairmont 4,88.00,1,4383
18.2,20.2,79,6,3265,232.0,amc concord dl 6,90.00,1,4324
16.6,20.6,79,6,3360,225.0,dodge aspen 6,110.0,1,4399
15.4,17.0,79,8,3840,305.0,chevrolet caprice classic,130.0,1,6508
13.4,17.6,79,8,3725,302.0,ford ltd landau,129.0,1,6686
13.2,16.5,79,8,3955,351.0,mercury grand marquis,138.0,1,7721
15.2,18.2,79,8,3830,318.0,dodge stregis,135.0,1,6847
14.9,16.9,79,8,4360,350.0,buick estate wagon (sw),155.0,1,7169
14.3,15.5,79,8,4054,351.0,ford country squire (sw),142.0,1,7006
15.0,19.2,79,8,3605,267.0,chevrolet malibu classic (sw),125.0,1,5480
13.0,18.5,79,8,3940,360.0,chrysler lebaron town @ country (sw),150.0,1,6642
14.0,31.9,79,4,1925,89.00,vw rabbit custom,71.00,2,4799
15.2,34.1,79,4,1975,86.00,maxda glc deluxe,65.00,3,3995
14.4,35.7,79,4,1915,98.00,dodge colt hatchback custom,80.00,1,4425
15.0,27.4,79,4,2670,121.0,amc spirit dl,80.00,1,4133
20.1,25.4,79,5,3530,183.0,mercedes benz 300d,77.00,2,21497
17.4,23.0,79,8,3900,350.0,cadillac eldorado,125.0,1,14668
24.8,27.2,79,4,3190,141.0,peugeot 504,71.00,2,8040
22.2,23.9,79,8,3420,260.0,oldsmobile cutlass salon brougham,90.00,1,5442
13.2,34.2,79,4,2200,105.0,plymouth horizon,70.00,1,4469
14.9,34.5,79,4,2150,105.0,plymouth horizon tc3,70.00,1,4864
19.2,31.8,79,4,2020,85.00,datsun 210,65.00,3,NA
14.7,37.3,79,4,2130,91.00,fiat strada custom,69.00,2,4496
16.0,28.4,79,4,2670,151.0,buick skylark limited,90.00,1,4462
11.3,28.8,79,6,2595,173.0,chevrolet citation,115.0,1,NA
12.9,26.8,79,6,2700,173.0,oldsmobile omega brougham,115.0,1,4582
13.2,33.5,79,4,2556,151.0,pontiac phoenix,90.00,1,4089
NA,NA,72,NA,NA,NA,buick lesabre custom,NA,NA,4291
NA,NA,70,NA,NA,NA,chevrolet impala,NA,NA,3132
NA,NA,78,NA,NA,NA,chevrolet malibu,NA,NA,4394
NA,NA,72,NA,NA,NA,volkswagen 411 (sw),NA,NA,3275
NA,NA,75,NA,NA,NA,ford mustang ii,NA,NA,3801
NA,NA,72,NA,NA,NA,amc ambassador sst,NA,NA,3902
NA,NA,79,NA,NA,NA,mercury zephyr 6,NA,NA,4888
NA,NA,74,NA,NA,NA,toyota corona,NA,NA,3344
NA,NA,78,NA,NA,NA,audi 5000,NA,NA,8780
NA,NA,71,NA,NA,NA,audi 100 ls,NA,NA,3595
NA,NA,73,NA,NA,NA,chevrolet impala,NA,NA,3836
NA,NA,71,NA,NA,NA,ford country squire (sw),NA,NA,4074
NA,NA,78,NA,NA,NA,ford fairmont (man),NA,NA,3744
NA,NA,71,NA,NA,NA,chevrolet impala,NA,NA,3813
NA,NA,78,NA,NA,NA,volkswagen scirocco,NA,NA,6095
NA,NA,71,NA,NA,NA,plymouth fury iii,NA,NA,3612
NA,NA,75,NA,NA,NA,honda civic cvcc,NA,NA,3009
NA,NA,78,NA,NA,NA,peugeot 604sl,NA,NA,10990
NA,NA,76,NA,NA,NA,amc pacer d/l,NA,NA,3499
NA,NA,71,NA,NA,NA,ford torino 500,NA,NA,2950
NA,NA,77,NA,NA,NA,subaru dl,NA,NA,3499
NA,NA,74,NA,NA,NA,fiat x1.9,NA,NA,4167
NA,NA,74,NA,NA,NA,plymouth satellite sebring,NA,NA,3468
NA,NA,76,NA,NA,NA,pontiac ventura sj,NA,NA,3702
NA,NA,71,NA,NA,NA,pontiac catalina brougham,NA,NA,4154
NA,NA,75,NA,NA,NA,volvo 244dl,NA,NA,6595
NA,NA,78,NA,NA,NA,oldsmobile cutlass salon brougham,NA,NA,4877
NA,NA,71,NA,NA,NA,fiat 124b,NA,NA,2081
NA,NA,71,NA,NA,NA,dodge d200,NA,NA,3198
NA,NA,74,NA,NA,NA,dodge coronet custom (sw),NA,NA,3882
NA,NA,77,NA,NA,NA,honda accord cvcc,NA,NA,3299
NA,NA,74,NA,NA,NA,ford gran torino (sw),NA,NA,4017
NA,NA,70,NA,NA,NA,amc ambassador dpl,NA,NA,3114
NA,NA,75,NA,NA,NA,buick skyhawk,NA,NA,4173
NA,NA,73,NA,NA,NA,chevrolet vega,NA,NA,2192
NA,NA,73,NA,NA,NA,saab 99le,NA,NA,4095
NA,NA,77,NA,NA,NA,volkswagen dasher,NA,NA,5399
NA,NA,76,NA,NA,NA,chevrolet chevelle malibu classic,NA,NA,4455
NA,NA,75,NA,NA,NA,ford maverick,NA,NA,3025
NA,NA,76,NA,NA,NA,chevrolet chevette,NA,NA,2558
NA,NA,78,NA,NA,NA,buick regal sport coupe (turbo),NA,NA,5958
NA,NA,75,NA,NA,NA,chevrolet monza 2+2,NA,NA,3953
NA,NA,77,NA,NA,NA,ford granada,NA,NA,4209
NA,NA,72,NA,NA,NA,volkswagen type 3,NA,NA,2549
NA,NA,79,NA,NA,NA,ford ltd landau,NA,NA,6686
NA,NA,76,NA,NA,NA,ford pinto,NA,NA,3025
NA,NA,77,NA,NA,NA,ford thunderbird,NA,NA,5063
NA,NA,70,NA,NA,NA,buick skylark 320,NA,NA,2847
NA,NA,72,NA,NA,NA,peugeot 504 (sw),NA,NA,4095
NA,NA,72,NA,NA,NA,dodge colt (sw),NA,NA,2451
NA,NA,71,NA,NA,NA,pontiac firebird,NA,NA,3168
NA,NA,71,NA,NA,NA,pontiac safari (sw),NA,NA,4643
NA,NA,75,NA,NA,NA,mercury monarch,NA,NA,3892
NA,NA,78,NA,NA,NA,chevrolet monte carlo landau,NA,NA,4935
NA,NA,70,NA,NA,NA,plymouth fury iii,NA,NA,3174
NA,NA,78,NA,NA,NA,dodge omni,NA,NA,3967
NA,NA,79,NA,NA,NA,plymouth horizon tc3,NA,NA,4864
NA,NA,73,NA,NA,NA,maxda rx3,NA,NA,3295
NA,NA,70,NA,NA,NA,ford mustang boss 302,NA,NA,3126
NA,NA,73,NA,NA,NA,plymouth fury gran sedan,NA,NA,4064
NA,NA,76,NA,NA,NA,volvo 245,NA,NA,7495
NA,NA,77,NA,NA,NA,renault 5 gtl,NA,NA,4450
NA,NA,79,NA,NA,NA,ford country squire (sw),NA,NA,7006
NA,NA,72,NA,NA,NA,mazda rx2 coupe,NA,NA,2290
NA,NA,75,NA,NA,NA,audi 100ls,NA,NA,6002
NA,NA,79,NA,NA,NA,maxda glc deluxe,NA,NA,3995
NA,NA,70,NA,NA,NA,plymouth duster,NA,NA,2547
NA,NA,71,NA,NA,NA,bmw 2002,NA,NA,3275
