acceleration,mpg,model_year,cylinders,weight,displacement,car_name,origin,horsepower,msrp
13.5,15.0,72,8,4135,318.0,plymouth fury iii,1,150.0,NA
13.0,14.0,72,8,4129,351.0,ford galaxie 500,1,153.0,NA
11.5,17.0,72,8,3672,304.0,amc ambassador sst,1,150.0,NA
11.0,11.0,72,8,4633,429.0,mercury marquis,1,208.0,NA
13.5,13.0,72,8,4502,350.0,buick lesabre custom,1,155.0,NA
13.5,12.0,72,8,4456,350.0,oldsmobile delta 88 royale,1,160.0,NA
12.5,13.0,72,8,4422,400.0,chrysler newport royal,1,190.0,NA
13.5,19.0,72,3,2330,70.00,mazda rx2 coupe,3,97.00,NA
12.5,15.0,72,8,3892,304.0,amc matador (sw),1,150.0,NA
14.0,13.0,72,8,4098,307.0,chevrolet chevelle concours (sw),1,130.0,NA
16.0,13.0,72,8,4294,302.0,ford gran torino (sw),1,140.0,NA
14.0,14.0,72,8,4077,318.0,plymouth satellite custom (sw),1,150.0,NA
14.5,18.0,72,4,2933,121.0,volvo 145e (sw),2,112.0,NA
18.0,22.0,72,4,2511,121.0,volkswagen 411 (sw),2,76.00,NA
19.5,21.0,72,4,2979,120.0,peugeot 504 (sw),2,87.00,NA
18.0,26.0,72,4,2189,96.00,renault 12 (sw),2,69.00,NA
16.0,22.0,72,4,2395,122.0,ford pinto (sw),1,86.00,NA
17.0,28.0,72,4,2288,97.00,datsun 510 (sw),3,92.00,NA
14.5,23.0,72,4,2506,120.0,toyota corona mark ii (sw),3,97.00,NA
15.0,28.0,72,4,2164,98.00,dodge colt (sw),1,80.00,NA
16.5,27.0,72,4,2100,97.00,toyota corolla 1600 (sw),3,88.00,NA
13.0,13.0,73,8,4100,350.0,buick century 350,1,175.0,NA
11.5,14.0,73,8,3672,304.0,amc matador,1,150.0,NA
13.0,13.0,73,8,3988,350.0,chevrolet malibu,1,145.0,NA
14.5,14.0,73,8,4042,302.0,ford gran torino,1,137.0,NA
12.5,15.0,73,8,3777,318.0,dodge coronet custom,1,150.0,NA
11.5,12.0,73,8,4952,429.0,mercury marquis brougham,1,198.0,NA
12.0,13.0,73,8,4464,400.0,chevrolet caprice classic,1,150.0,NA
13.0,13.0,73,8,4363,351.0,ford ltd,1,158.0,NA
14.5,14.0,73,8,4237,318.0,plymouth fury gran sedan,1,150.0,NA
11.0,13.0,73,8,4735,440.0,chrysler new yorker brougham,1,215.0,NA
11.0,12.0,73,8,4951,455.0,buick electra 225 custom,1,225.0,NA
11.0,13.0,73,8,3821,360.0,amc ambassador brougham,1,175.0,NA
16.5,18.0,73,6,3121,225.0,plymouth valiant,1,105.0,NA
18.0,16.0,73,6,3278,250.0,chevrolet nova custom,1,100.0,NA
16.0,18.0,73,6,2945,232.0,amc hornet,1,100.0,NA
16.5,18.0,73,6,3021,250.0,ford maverick,1,88.00,NA
16.0,23.0,73,6,2904,198.0,plymouth duster,1,95.00,NA
21.0,26.0,73,4,1950,97.00,volkswagen super beetle,2,46.00,NA
14.0,11.0,73,8,4997,400.0,chevrolet impala,1,150.0,NA
12.5,12.0,73,8,4906,400.0,ford country,1,167.0,NA
13.0,13.0,73,8,4654,360.0,plymouth custom suburb,1,170.0,NA
12.5,12.0,73,8,4499,350.0,oldsmobile vista cruiser,1,180.0,NA
15.0,18.0,73,6,2789,232.0,amc gremlin,1,100.0,NA
19.0,20.0,73,4,2279,97.00,toyota carina,3,88.00,NA
19.5,21.0,73,4,2401,140.0,chevrolet vega,1,72.00,NA
16.5,22.0,73,4,2379,108.0,datsun 610,3,94.00,NA
13.5,18.0,73,3,2124,70.00,maxda rx3,3,90.00,NA
18.5,19.0,73,4,2310,122.0,ford pinto,1,85.00,NA
14.0,21.0,73,6,2472,155.0,mercury capri v6,1,107.0,NA
15.5,26.0,73,4,2265,98.00,fiat 124 sport coupe,2,90.00,NA
13.0,15.0,73,8,4082,350.0,chevrolet monte carlo s,1,145.0,NA
9.50,16.0,73,8,4278,400.0,pontiac grand prix,1,230.0,NA
19.5,29.0,73,4,1867,68.00,fiat 128,2,49.00,NA
15.5,24.0,73,4,2158,116.0,opel manta,2,75.00,NA
14.0,20.0,73,4,2582,114.0,audi 100ls,2,91.00,NA
15.5,19.0,73,4,2868,121.0,volvo 144ea,2,112.0,NA
11.0,15.0,73,8,3399,318.0,dodge dart custom,1,150.0,NA
14.0,24.0,73,4,2660,121.0,saab 99le,2,110.0,NA
13.5,20.0,73,6,2807,156.0,toyota mark ii,3,122.0,NA
11.0,11.0,73,8,3664,350.0,oldsmobile omega,1,180.0,NA
16.5,20.0,74,6,3102,198.0,plymouth duster,1,95.00,NA
17.0,21.0,74,6,2875,200.0,ford maverick,1,NA,NA
16.0,19.0,74,6,2901,232.0,amc hornet,1,100.0,NA
17.0,15.0,74,6,3336,250.0,chevrolet nova,1,100.0,NA
19.0,31.0,74,4,1950,79.00,datsun b210,3,67.00,NA
16.5,26.0,74,4,2451,122.0,ford pinto,1,80.00,NA
21.0,32.0,74,4,1836,71.00,toyota corolla 1200,3,65.00,NA
17.0,25.0,74,4,2542,140.0,chevrolet vega,1,75.00,NA
17.0,16.0,74,6,3781,250.0,chevrolet chevelle malibu classic,1,100.0,NA
18.0,16.0,74,6,3632,258.0,amc matador,1,110.0,NA
16.5,18.0,74,6,3613,225.0,plymouth satellite sebring,1,105.0,NA
14.0,16.0,74,8,4141,302.0,ford gran torino,1,140.0,NA
14.5,13.0,74,8,4699,350.0,buick century luxus (sw),1,150.0,NA
13.5,14.0,74,8,4457,318.0,dodge coronet custom (sw),1,150.0,NA
16.0,14.0,74,8,4638,302.0,ford gran torino (sw),1,140.0,NA
15.5,14.0,74,8,4257,304.0,amc matador (sw),1,150.0,NA
16.5,29.0,74,4,2219,98.00,audi fox,2,83.00,NA
15.5,26.0,74,4,1963,79.00,volkswagen dasher,2,67.00,NA
14.5,26.0,74,4,2300,97.00,opel manta,2,78.00,NA
16.5,31.0,74,4,1649,76.00,toyota corona,3,52.00,NA
19.0,32.0,74,4,2003,83.00,datsun 710,3,61.00,NA
14.5,28.0,74,4,2125,90.00,dodge colt,1,75.00,NA
15.5,24.0,74,4,2108,90.00,fiat 128,2,75.00,NA
14.0,26.0,74,4,2246,116.0,fiat 124 tc,2,75.00,NA
15.0,24.0,74,4,2489,120.0,honda civic,3,97.00,NA
15.5,26.0,74,4,2391,108.0,subaru,3,93.00,NA
16.0,31.0,74,4,2000,79.00,fiat x1.9,2,67.00,NA
16.0,19.0,75,6,3264,225.0,plymouth valiant custom,1,95.00,NA
16.0,18.0,75,6,3459,250.0,chevrolet nova,1,105.0,NA
21.0,15.0,75,6,3432,250.0,mercury monarch,1,72.00,NA
19.5,15.0,75,6,3158,250.0,ford maverick,1,72.00,NA
11.5,16.0,75,8,4668,400.0,pontiac catalina,1,170.0,NA
14.0,15.0,75,8,4440,350.0,chevrolet bel air,1,145.0,NA
14.5,16.0,75,8,4498,318.0,plymouth grand fury,1,150.0,NA
13.5,14.0,75,8,4657,351.0,ford ltd,1,148.0,NA
21.0,17.0,75,6,3907,231.0,buick century,1,110.0,NA
18.5,16.0,75,6,3897,250.0,chevroelt chevelle malibu,1,105.0,NA
19.0,15.0,75,6,3730,258.0,amc matador,1,110.0,NA
19.0,18.0,75,6,3785,225.0,plymouth fury,1,95.00,NA
15.0,21.0,75,6,3039,231.0,buick skyhawk,1,110.0,NA
13.5,20.0,75,8,3221,262.0,chevrolet monza 2+2,1,110.0,NA
12.0,13.0,75,8,3169,302.0,ford mustang ii,1,129.0,NA
16.0,29.0,75,4,2171,97.00,toyota corolla,3,75.00,NA
16.0,20.0,75,6,2914,232.0,amc gremlin,1,100.0,NA
18.5,23.0,75,4,2592,140.0,pontiac astro,1,78.00,NA
13.5,24.0,75,4,2702,134.0,toyota corona,3,96.00,NA
16.5,25.0,75,4,2223,90.00,volkswagen dasher,2,71.00,NA
17.0,24.0,75,4,2545,119.0,datsun 710,3,97.00,NA
14.5,18.0,75,6,2984,171.0,ford pinto,1,97.00,NA
14.0,29.0,75,4,1937,90.00,volkswagen rabbit,2,70.00,NA
17.0,19.0,75,6,3211,232.0,amc pacer,1,90.00,NA
15.0,23.0,75,4,2694,115.0,audi 100ls,2,95.00,NA
17.0,23.0,75,4,2957,120.0,peugeot 504,2,88.00,NA
14.5,22.0,75,4,2945,121.0,volvo 244dl,2,98.00,NA
13.5,25.0,75,4,2671,121.0,saab 99le,2,115.0,NA
17.5,33.0,75,4,1795,91.00,honda civic cvcc,3,53.00,NA
15.5,28.0,76,4,2464,107.0,fiat 131,2,86.00,NA
16.9,25.0,76,4,2220,116.0,opel 1900,2,81.00,NA
14.9,25.0,76,4,2572,140.0,capri ii,1,92.00,NA
17.7,26.0,76,4,2255,98.00,dodge colt,1,79.00,NA
15.3,27.0,76,4,2202,101.0,renault 12tl,2,83.00,NA
13.0,17.5,76,8,4215,305.0,chevrolet chevelle malibu classic,1,140.0,NA
13.0,16.0,76,8,4190,318.0,dodge coronet brougham,1,150.0,NA
13.9,15.5,76,8,3962,304.0,amc matador,1,120.0,NA
12.8,14.5,76,8,4215,351.0,ford gran torino,1,152.0,NA
15.4,22.0,76,6,3233,225.0,plymouth valiant,1,100.0,NA
14.5,22.0,76,6,3353,250.0,chevrolet nova,1,105.0,NA
17.6,24.0,76,6,3012,200.0,ford maverick,1,81.00,NA
17.6,22.5,76,6,3085,232.0,amc hornet,1,90.00,NA
22.2,29.0,76,4,2035,85.00,chevrolet chevette,1,52.00,NA
22.1,24.5,76,4,2164,98.00,chevrolet woody,1,60.00,NA
14.2,29.0,76,4,1937,90.00,vw rabbit,2,70.00,NA
17.4,33.0,76,4,1795,91.00,honda civic,3,53.00,NA
17.7,20.0,76,6,3651,225.0,dodge aspen se,1,100.0,NA
21.0,18.0,76,6,3574,250.0,ford granada ghia,1,78.00,NA
16.2,18.5,76,6,3645,250.0,pontiac ventura sj,1,110.0,NA
17.8,17.5,76,6,3193,258.0,amc pacer d/l,1,95.00,NA
12.2,29.5,76,4,1825,97.00,volkswagen rabbit,2,71.00,NA
17.0,32.0,76,4,1990,85.00,datsun b-210,3,70.00,NA
16.4,28.0,76,4,2155,97.00,toyota corolla,3,75.00,NA
13.6,26.5,76,4,2565,140.0,ford pinto,1,72.00,NA
15.7,20.0,76,4,3150,130.0,volvo 245,2,102.0,NA
13.2,13.0,76,8,3940,318.0,plymouth volare premier v8,1,150.0,NA
21.9,19.0,76,4,3270,120.0,peugeot 504,2,88.00,NA
15.5,19.0,76,6,2930,156.0,toyota mark ii,3,108.0,NA
16.7,16.5,76,6,3820,168.0,mercedes-benz 280s,2,120.0,NA
12.1,16.5,76,8,4380,350.0,cadillac seville,1,180.0,NA
12.0,13.0,76,8,4055,350.0,chevy c10,1,145.0,NA
15.0,13.0,76,8,3870,302.0,ford f108,1,130.0,NA
14.0,13.0,76,8,3755,318.0,dodge d100,1,150.0,NA
18.5,31.5,77,4,2045,98.00,honda accord cvcc,3,68.00,NA
14.8,30.0,77,4,2155,111.0,buick opel isuzu deluxe,1,80.00,NA
18.6,36.0,77,4,1825,79.00,renault 5 gtl,2,58.00,NA
15.5,25.5,77,4,2300,122.0,plymouth arrow gs,1,96.00,NA
16.8,33.5,77,4,1945,85.00,datsun f-10 hatchback,3,70.00,NA
12.5,17.5,77,8,3880,305.0,chevrolet caprice classic,1,145.0,NA
19.0,17.0,77,8,4060,260.0,oldsmobile cutlass supreme,1,110.0,NA
13.7,15.5,77,8,4140,318.0,dodge monaco brougham,1,145.0,NA
14.9,15.0,77,8,4295,302.0,mercury cougar brougham,1,130.0,NA
16.4,17.5,77,6,3520,250.0,chevrolet concours,1,110.0,NA
16.9,20.5,77,6,3425,231.0,buick skylark,1,105.0,NA
17.7,19.0,77,6,3630,225.0,plymouth volare custom,1,100.0,NA
19.0,18.5,77,6,3525,250.0,ford granada,1,98.00,NA
11.1,16.0,77,8,4220,400.0,pontiac grand prix lj,1,180.0,NA
11.4,15.5,77,8,4165,350.0,chevrolet monte carlo landau,1,170.0,NA
12.2,15.5,77,8,4325,400.0,chrysler cordoba,1,190.0,NA
14.5,16.0,77,8,4335,351.0,ford thunderbird,1,149.0,NA
14.5,29.0,77,4,1940,97.00,volkswagen rabbit custom,2,78.00,NA
16.0,24.5,77,4,2740,151.0,pontiac sunbird coupe,1,88.00,NA
18.2,26.0,77,4,2265,97.00,toyota corolla liftback,3,75.00,NA
15.8,25.5,77,4,2755,140.0,ford mustang ii 2+2,1,89.00,NA
17.0,30.5,77,4,2051,98.00,chevrolet chevette,1,63.00,NA
15.9,33.5,77,4,2075,98.00,dodge colt m/m,1,83.00,NA
16.4,30.0,77,4,1985,97.00,subaru dl,3,67.00,NA
14.1,30.5,77,4,2190,97.00,volkswagen dasher,2,78.00,NA
14.5,22.0,77,6,2815,146.0,datsun 810,3,97.00,NA
12.8,21.5,77,4,2600,121.0,bmw 320i,2,110.0,NA
13.5,21.5,77,3,2720,80.00,mazda rx-4,3,110.0,NA
21.5,43.1,78,4,1985,90.00,volkswagen rabbit custom diesel,2,48.00,NA
14.4,36.1,78,4,1800,98.00,ford fiesta,1,66.00,NA
19.4,32.8,78,4,1985,78.00,mazda glc deluxe,3,52.00,NA
18.6,39.4,78,4,2070,85.00,datsun b210 gx,3,70.00,NA
16.4,36.1,78,4,1800,91.00,honda civic cvcc,3,60.00,NA
15.5,19.9,78,8,3365,260.0,oldsmobile cutlass salon brougham,1,110.0,NA
13.2,19.4,78,8,3735,318.0,dodge diplomat,1,140.0,NA
12.8,20.2,78,8,3570,302.0,mercury monarch ghia,1,139.0,NA
19.2,19.2,78,6,3535,231.0,pontiac phoenix lj,1,105.0,NA
18.2,20.5,78,6,3155,200.0,chevrolet malibu,1,95.00,NA
15.8,20.2,78,6,2965,200.0,ford fairmont (auto),1,85.00,NA
15.4,25.1,78,4,2720,140.0,ford fairmont (man),1,88.00,NA
17.2,20.5,78,6,3430,225.0,plymouth volare,1,100.0,NA
17.2,19.4,78,6,3210,232.0,amc concord,1,90.00,NA
15.8,20.6,78,6,3380,231.0,buick century special,1,105.0,NA
16.7,20.8,78,6,3070,200.0,mercury zephyr,1,85.00,NA
18.7,18.6,78,6,3620,225.0,dodge aspen,1,110.0,NA
15.1,18.1,78,6,3410,258.0,amc concord d/l,1,120.0,NA
13.2,19.2,78,8,3425,305.0,chevrolet monte carlo landau,1,145.0,NA
13.4,17.7,78,6,3445,231.0,buick regal sport coupe (turbo),1,165.0,NA
11.2,18.1,78,8,3205,302.0,ford futura,1,139.0,NA
13.7,17.5,78,8,4080,318.0,dodge magnum xe,1,140.0,NA
16.5,30.0,78,4,2155,98.00,chevrolet chevette,1,68.00,NA
14.2,27.5,78,4,2560,134.0,toyota corona,3,95.00,NA
14.7,27.2,78,4,2300,119.0,datsun 510,3,97.00,NA
14.5,30.9,78,4,2230,105.0,dodge omni,1,75.00,NA
14.8,21.1,78,4,2515,134.0,toyota celica gt liftback,3,95.00,NA
16.7,23.2,78,4,2745,156.0,plymouth sapporo,1,105.0,NA
17.6,23.8,78,4,2855,151.0,oldsmobile starfire sx,1,85.00,NA
14.9,23.9,78,4,2405,119.0,datsun 200-sx,3,97.00,NA
15.9,20.3,78,5,2830,131.0,audi 5000,2,103.0,NA
13.6,17.0,78,6,3140,163.0,volvo 264gl,2,125.0,NA
15.7,21.6,78,4,2795,121.0,saab 99gle,2,115.0,NA
15.8,16.2,78,6,3410,163.0,peugeot 604sl,2,133.0,NA
14.9,31.5,78,4,1990,89.00,volkswagen scirocco,2,71.00,NA
16.6,29.5,78,4,2135,98.00,honda accord lx,3,68.00,NA
15.4,21.5,79,6,3245,231.0,pontiac lemans v6,1,115.0,NA
18.2,19.8,79,6,2990,200.0,mercury zephyr 6,1,85.00,NA
17.3,22.3,79,4,2890,140.0,ford fairmont 4,1,88.00,NA
18.2,20.2,79,6,3265,232.0,amc concord dl 6,1,90.00,NA
16.6,20.6,79,6,3360,225.0,dodge aspen 6,1,110.0,NA
15.4,17.0,79,8,3840,305.0,chevrolet caprice classic,1,130.0,NA
13.4,17.6,79,8,3725,302.0,ford ltd landau,1,129.0,NA
13.2,16.5,79,8,3955,351.0,mercury grand marquis,1,138.0,NA
15.2,18.2,79,8,3830,318.0,dodge stregis,1,135.0,NA
14.9,16.9,79,8,4360,350.0,buick estate wagon (sw),1,155.0,NA
14.3,15.5,79,8,4054,351.0,ford country squire (sw),1,142.0,NA
15.0,19.2,79,8,3605,267.0,chevrolet malibu classic (sw),1,125.0,NA
13.0,18.5,79,8,3940,360.0,chrysler lebaron town @ country (sw),1,150.0,NA
14.0,31.9,79,4,1925,89.00,vw rabbit custom,2,71.00,NA
15.2,34.1,79,4,1975,86.00,maxda glc deluxe,3,65.00,NA
14.4,35.7,79,4,1915,98.00,dodge colt hatchback custom,1,80.00,NA
15.0,27.4,79,4,2670,121.0,amc spirit dl,1,80.00,NA
20.1,25.4,79,5,3530,183.0,mercedes benz 300d,2,77.00,NA
17.4,23.0,79,8,3900,350.0,cadillac eldorado,1,125.0,NA
24.8,27.2,79,4,3190,141.0,peugeot 504,2,71.00,NA
22.2,23.9,79,8,3420,260.0,oldsmobile cutlass salon brougham,1,90.00,NA
13.2,34.2,79,4,2200,105.0,plymouth horizon,1,70.00,NA
14.9,34.5,79,4,2150,105.0,plymouth horizon tc3,1,70.00,NA
19.2,31.8,79,4,2020,85.00,datsun 210,3,65.00,NA
14.7,37.3,79,4,2130,91.00,fiat strada custom,2,69.00,NA
16.0,28.4,79,4,2670,151.0,buick skylark limited,1,90.00,NA
11.3,28.8,79,6,2595,173.0,chevrolet citation,1,115.0,NA
12.9,26.8,79,6,2700,173.0,oldsmobile omega brougham,1,115.0,NA
13.2,33.5,79,4,2556,151.0,pontiac phoenix,1,90.00,NA
8.5,15.0,70,8,3850,390.0,amc ambassador dpl,1,190.0,NA
12.0,18.0,70,8,3504,307.0,chevrolet chevelle malibu,1,130.0,2881
