car_name,model_year,msrp,acceleration,mpg,cylinders,weight,displacement,horsepower,origin
dodge colt,76,3175,17.7,26.0,4,2255,98.00,79.00,1
dodge coronet brougham,76,4297,13.0,16.0,8,4190,318.0,150.0,1
dodge d100,76,3777,14.0,13.0,8,3755,318.0,150.0,1
fiat 131,76,4286,15.5,28.0,4,2464,107.0,86.00,2
ford granada ghia,76,4353,21.0,18.0,6,3574,250.0,78.00,1
ford maverick,76,3117,17.6,24.0,6,3012,200.0,81.00,1
ford pinto,76,3025,13.6,26.5,4,2565,140.0,72.00,1
honda civic,76,2939,17.4,33.0,4,1795,91.00,53.00,3
mercedes-benz 280s,76,17124,16.7,16.5,6,3820,168.0,120.0,2
peugeot 504,76,7340,21.9,19.0,4,3270,120.0,88.00,2
plymouth valiant,76,3276,15.4,22.0,6,3233,225.0,100.0,1
plymouth volare premier v8,76,3324,13.2,13.0,8,3940,318.0,150.0,1
pontiac ventura sj,76,3702,16.2,18.5,6,3645,250.0,110.0,1
renault 12tl,76,3899,15.3,27.0,4,2202,101.0,83.00,2
toyota corolla,76,2789,16.4,28.0,4,2155,97.00,75.00,3
volkswagen rabbit,76,3499,12.2,29.5,4,1825,97.00,71.00,2
volvo 245,76,7495,15.7,20.0,4,3150,130.0,102.0,2
vw rabbit,76,3499,14.2,29.0,4,1937,90.00,70.00,2
bmw 320i,77,7990,12.8,21.5,4,2600,121.0,110.0,2
buick skylark,77,3865,16.9,20.5,6,3425,231.0,105.0,1
chevrolet caprice classic,77,5307,12.5,17.5,8,3880,305.0,145.0,1
chevrolet chevette,77,3225,17.0,30.5,4,2051,98.00,63.00,1
chevrolet concours,77,4111,16.4,17.5,6,3520,250.0,110.0,1
chevrolet monte carlo landau,77,4968,11.4,15.5,8,4165,350.0,170.0,1
chrysler cordoba,77,5418,12.2,15.5,8,4325,400.0,190.0,1
dodge colt m/m,77,2999,15.9,33.5,4,2075,98.00,83.00,1
dodge monaco brougham,77,4408,13.7,15.5,8,4140,318.0,145.0,1
ford granada,77,4209,19.0,18.5,6,3525,250.0,98.00,1
ford mustang ii 2+2,77,4183,15.8,25.5,4,2755,140.0,89.00,1
ford thunderbird,77,5063,14.5,16.0,8,4335,351.0,149.0,1
honda accord cvcc,77,3299,18.5,31.5,4,2045,98.00,68.00,3
mazda rx-4,77,5470,13.5,21.5,3,2720,80.00,110.0,3
mercury cougar brougham,77,4990,14.9,15.0,8,4295,302.0,130.0,1
oldsmobile cutlass supreme,77,4825,19.0,17.0,8,4060,260.0,110.0,1
plymouth arrow gs,77,3654,15.5,25.5,4,2300,122.0,96.00,1
plymouth volare custom,77,3752,17.7,19.0,6,3630,225.0,100.0,1
pontiac grand prix lj,77,5483,11.1,16.0,8,4220,400.0,180.0,1
pontiac sunbird coupe,77,3659,16.0,24.5,4,2740,151.0,88.00,1
renault 5 gtl,77,4450,18.6,36.0,4,1825,79.00,58.00,2
subaru dl,77,3499,16.4,30.0,4,1985,97.00,67.00,3
toyota corolla liftback,77,3918,18.2,26.0,4,2265,97.00,75.00,3
volkswagen dasher,77,5399,14.1,30.5,4,2190,97.00,78.00,2
volkswagen rabbit custom,77,4079,14.5,29.0,4,1940,97.00,78.00,2
amc concord,78,3849,17.2,19.4,6,3210,232.0,90.00,1
amc concord d/l,78,3849,15.1,18.1,6,3410,258.0,120.0,1
audi 5000,78,8780,15.9,20.3,5,2830,131.0,103.0,2
buick century special,78,4633,15.8,20.6,6,3380,231.0,105.0,1
buick regal sport coupe (turbo),78,5958,13.4,17.7,6,3445,231.0,165.0,1
chevrolet chevette,78,3644,16.5,30.0,4,2155,98.00,68.00,1
chevrolet malibu,78,4394,18.2,20.5,6,3155,200.0,95.00,1
chevrolet monte carlo landau,78,4935,13.2,19.2,8,3425,305.0,145.0,1
dodge aspen,78,3911,18.7,18.6,6,3620,225.0,110.0,1
dodge diplomat,78,5207,13.2,19.4,8,3735,318.0,140.0,1
dodge magnum xe,78,5509,13.7,17.5,8,4080,318.0,140.0,1
dodge omni,78,3967,14.5,30.9,4,2230,105.0,75.00,1
ford fairmont (auto),78,3744,15.8,20.2,6,2965,200.0,85.00,1
ford fairmont (man),78,3744,15.4,25.1,4,2720,140.0,88.00,1
honda accord lx,78,5965,16.6,29.5,4,2135,98.00,68.00,3
honda civic cvcc,78,3975,16.4,36.1,4,1800,91.00,60.00,3
mazda glc deluxe,78,3145,19.4,32.8,4,1985,78.00,52.00,3
mercury monarch ghia,78,4571,12.8,20.2,8,3570,302.0,139.0,1
mercury zephyr,78,3897,16.7,20.8,6,3070,200.0,85.00,1
oldsmobile cutlass salon brougham,78,4877,15.5,19.9,8,3365,260.0,110.0,1
oldsmobile starfire sx,78,4306,17.6,23.8,4,2855,151.0,85.00,1
peugeot 604sl,78,10990,15.8,16.2,6,3410,163.0,133.0,2
plymouth sapporo,78,6087,16.7,23.2,4,2745,156.0,105.0,1
plymouth volare,78,3771,17.2,20.5,6,3430,225.0,100.0,1
pontiac phoenix lj,78,4399,19.2,19.2,6,3535,231.0,105.0,1
saab 99gle,78,6298,15.7,21.6,4,2795,121.0,115.0,2
toyota celica gt liftback,78,5889,14.8,21.1,4,2515,134.0,95.00,3
toyota corona,78,4574,14.2,27.5,4,2560,134.0,95.00,3
volkswagen rabbit custom diesel,78,4699,21.5,43.1,4,1985,90.00,48.00,2
volkswagen scirocco,78,6095,14.9,31.5,4,1990,89.00,71.00,2
volvo 264gl,78,10245,13.6,17.0,6,3140,163.0,125.0,2
amc concord dl 6,79,4324,18.2,20.2,6,3265,232.0,90.00,1
amc spirit dl,79,4133,15.0,27.4,4,2670,121.0,80.00,1
buick estate wagon (sw),79,7169,14.9,16.9,8,4360,350.0,155.0,1
buick skylark limited,79,4462,16.0,28.4,4,2670,151.0,90.00,1
cadillac eldorado,79,14668,17.4,23.0,8,3900,350.0,125.0,1
chevrolet caprice classic,79,6508,15.4,17.0,8,3840,305.0,130.0,1
chevrolet malibu classic (sw),79,5480,15.0,19.2,8,3605,267.0,125.0,1
chrysler lebaron town @ country (sw),79,6642,13.0,18.5,8,3940,360.0,150.0,1
dodge aspen 6,79,4399,16.6,20.6,6,3360,225.0,110.0,1
dodge colt hatchback custom,79,4425,14.4,35.7,4,1915,98.00,80.00,1
dodge stregis,79,6847,15.2,18.2,8,3830,318.0,135.0,1
fiat strada custom,79,4496,14.7,37.3,4,2130,91.00,69.00,2
ford country squire (sw),79,7006,14.3,15.5,8,4054,351.0,142.0,1
ford fairmont 4,79,4383,17.3,22.3,4,2890,140.0,88.00,1
ford ltd landau,79,6686,13.4,17.6,8,3725,302.0,129.0,1
maxda glc deluxe,79,3995,15.2,34.1,4,1975,86.00,65.00,3
mercedes benz 300d,79,21497,20.1,25.4,5,3530,183.0,77.00,2
mercury grand marquis,79,7721,13.2,16.5,8,3955,351.0,138.0,1
mercury zephyr 6,79,4888,18.2,19.8,6,2990,200.0,85.00,1
oldsmobile cutlass salon brougham,79,5442,22.2,23.9,8,3420,260.0,90.00,1
oldsmobile omega brougham,79,4582,12.9,26.8,6,2700,173.0,115.0,1
peugeot 504,79,8040,24.8,27.2,4,3190,141.0,71.00,2
plymouth horizon,79,4469,13.2,34.2,4,2200,105.0,70.00,1
plymouth horizon tc3,79,4864,14.9,34.5,4,2150,105.0,70.00,1
pontiac lemans v6,79,5301,15.4,21.5,6,3245,231.0,115.0,1
pontiac phoenix,79,4089,13.2,33.5,4,2556,151.0,90.00,1
vw rabbit custom,79,4799,14.0,31.9,4,1925,89.00,71.00,2
